ticker,period,operating_margin,price,var_price
BBT,2014-12-31,0,38.889999,0.04206856913183277
BBT,2015-12-31,0,37.810001,-0.027770584411689114
BBY,2012-03-03,5,NA,NA
BBY,2014-02-01,3,NA,NA
BBY,2015-01-31,4,NA,NA
BBY,2016-01-30,3,NA,NA
BCR,2013-12-31,21,133.940002,NA
BCR,2014-12-31,24,166.619995,0.243989790294314
BCR,2015-12-31,25,189.440002,0.13695839445920055
BCR,2016-12-31,26,NA,NA
BDX,2013-09-30,16,100.019997,NA
BDX,2014-09-30,19,113.809998,0.13787243964824336
BDX,2015-09-30,10,132.660004,0.16562697769311963
BDX,2016-09-30,11,179.729996,0.3548167539630107
BHI,2013-12-31,9,55.259998,NA
BHI,2014-12-31,12,56.07,0.014658017179081329
BHI,2015-12-31,15,46.150002,-0.17692166934189402
BHI,2016-12-31,16,NA,NA
BIIB,2013-12-31,36,279.570007,NA
BIIB,2014-12-31,41,339.450012,0.21418608398861627
BIIB,2015-12-31,45,306.350006,-0.09751069326814465
BIIB,2016-12-31,45,NA,NA
BK,2012-12-31,22,25.700001,NA
BK,2013-12-31,24,34.939999,0.35953298211933915
BK,2014-12-31,22,40.57,0.16113340472619941
BK,2015-12-31,28,41.220001,0.016021715553364624
BLL,2012-12-31,9,44.75,NA
BLL,2013-12-31,9,51.66,0.15441340782122892
BLL,2014-12-31,10,68.169998,0.31958958575300067
BLL,2015-12-31,8,72.730003,0.06689166985159645
BMY,2012-12-31,13,32.59,NA
BMY,2013-12-31,19,53.150002,0.6308684258975144
BMY,2014-12-31,16,59.029999,0.11063023102049918
BMY,2015-12-31,11,68.790001,0.16533969448313912
BSX,2012-12-31,53,5.73,NA
BSX,2013-12-31,2,12.02,1.0977312390924956
BSX,2014-12-31,4,13.25,0.10232945091514156
BSX,2015-12-31,4,18.440001,0.3916981886792452
BWA,2013-12-31,11,55.91,NA
BWA,2014-12-31,12,54.950001,-0.017170434627079123
BWA,2015-12-31,12,43.23,-0.21328481868453475
BWA,2016-12-31,2,NA,NA
BXP,2012-12-31,35,105.809998,NA
BXP,2013-12-31,32,100.370003,-0.05141286365018172
